=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [23/109] block 19,275,600   570s: acct_R=3,937,113
  [24/109] block 19,326,000   586s: acct_R=3,937,318
  [25/109] block 19,376,400   593s: acct_R=3,933,531
  [26/109] block 19,426,800   582s: acct_R=3,993,414
  [27/109] block 19,477,200   594s: acct_R=4,116,533
  [28/109] block 19,527,600   590s: acct_R=4,248,686
  [29/109] block 19,578,000   598s: acct_R=4,284,860
  [30/109] block 19,628,400   607s: acct_R=4,424,670
  [31/109] block 19,678,800   598s: acct_R=4,600,685
  [32/109] block 19,729,200   620s: acct_R=4,761,737
  [33/109] block 19,779,600   614s: acct_R=4,907,080
  [34/109] block 19,830,000   627s: acct_R=4,976,880
  [35/109] block 19,880,400   617s: acct_R=5,135,417
  [36/109] block 19,930,800   630s: acct_R=5,207,733
  [37/109] block 19,981,200   630s: acct_R=5,244,599
  [38/109] block 20,031,600   636s: acct_R=5,283,722
  [39/109] block 20,082,000   620s: acct_R=5,419,756
  [40/109] block 20,132,400   625s: acct_R=5,620,368
  [41/109] block 20,182,800   634s: acct_R=5,880,516
  [42/109] block 20,233,200   629s: acct_R=6,117,510
  [43/109] block 20,283,600   639s: acct_R=6,308,305
  [44/109] block 20,334,000   647s: acct_R=6,500,024
  [45/109] block 20,384,400   639s: acct_R=6,753,598
  [46/109] block 20,434,800   653s: acct_R=6,807,003
  [47/109] block 20,485,200   657s: acct_R=6,870,047
  [48/109] block 20,535,600   666s: acct_R=6,974,703
  [49/109] block 20,586,000   666s: acct_R=7,053,123
  [50/109] block 20,636,400   652s: acct_R=7,117,599
  [51/109] block 20,686,800   646s: acct_R=7,169,299
  [52/109] block 20,737,200   656s: acct_R=7,357,565
  [53/109] block 20,787,600   654s: acct_R=7,515,204
  [54/109] block 20,838,000   670s: acct_R=7,683,568
  [55/109] block 20,888,400   671s: acct_R=7,772,958
  [56/109] block 20,938,800   678s: acct_R=7,833,533
  [57/109] block 20,989,200   675s: acct_R=7,957,569
  [58/109] block 21,039,600   687s: acct_R=7,974,487
  [59/109] block 21,090,000   664s: acct_R=7,972,819
  [60/109] block 21,140,400   666s: acct_R=7,989,888
  [61/109] block 21,190,800   667s: acct_R=8,005,226
  [62/109] block 21,241,200   674s: acct_R=8,039,061
  [63/109] block 21,291,600   693s: acct_R=8,118,438
  [64/109] block 21,342,000   687s: acct_R=8,118,325
  [65/109] block 21,392,400   703s: acct_R=8,137,580
  [66/109] block 21,442,800   714s: acct_R=8,157,914
  [67/109] block 21,493,200   715s: acct_R=8,263,179
  [68/109] block 21,543,600   720s: acct_R=8,270,162
  [69/109] block 21,594,000   721s: acct_R=8,342,595
  [70/109] block 21,644,400   721s: acct_R=8,393,167
  [71/109] block 21,694,800   727s: acct_R=8,351,648
  [72/109] block 21,745,200   724s: acct_R=8,293,014
  [73/109] block 21,795,600   747s: acct_R=8,247,446
  [74/109] block 21,846,000   723s: acct_R=8,170,398
  [75/109] block 21,896,400   735s: acct_R=8,104,774
  [76/109] block 21,946,800   736s: acct_R=8,059,180
  [77/109] block 21,997,200   744s: acct_R=7,994,077
  [78/109] block 22,047,600   746s: acct_R=7,979,439
  [79/109] block 22,098,000   746s: acct_R=7,839,686
  [80/109] block 22,148,400   750s: acct_R=7,704,469
  [81/109] block 22,198,800   752s: acct_R=7,633,291
  [82/109] block 22,249,200   755s: acct_R=7,515,036
  [83/109] block 22,299,600   762s: acct_R=7,376,059
  [84/109] block 22,350,000   755s: acct_R=7,271,601
  [85/109] block 22,400,400   759s: acct_R=7,185,147
  [86/109] block 22,450,800   755s: acct_R=7,087,949
  [87/109] block 22,501,200   740s: acct_R=6,890,288
  [88/109] block 22,551,600   747s: acct_R=6,779,267
  [89/109] block 22,602,000   759s: acct_R=6,683,583
  [90/109] block 22,652,400   747s: acct_R=6,659,215
  [91/109] block 22,702,800   747s: acct_R=6,603,511
  [92/109] block 22,753,200   767s: acct_R=6,539,333
  [93/109] block 22,803,600   753s: acct_R=6,479,430
  [94/109] block 22,854,000   761s: acct_R=6,383,114
  [95/109] block 22,904,400   779s: acct_R=6,257,164
  [96/109] block 22,954,800   788s: acct_R=6,128,771
